reference,hypothesis
私はその人の記憶を呼び起すごとに、すぐ「先生」といいたくなる。,私はその人の記憶を呼び起こすごとにすぐ先生といたくなる
忘れてしまった記憶は、どこに行くのだろうか,20秒間の定時
元気の出る曲をかけて,現金の出る曲をかけて
国の滅亡を嘆くことのたとえ。,国の滅亡はないことのたとえ
青春時代、清掃員が清掃して清々しい,青春時代清掃員が清掃してすがすがしい
祖母は、おおむね機嫌よく、サイコロをころがしている。,祖母は主に機嫌よくサイコロ転がしている
イワンがこう言うとまた麦の束になりました。そこで小悪魔はたのみ出しました。「どうぞ、はなして下さいよ。」,イワンがこう言うとまた麦の束になりましたそこで小悪魔は頼み出しましたどうぞ話してくださいよ
すると、ブランコ乗りは突然泣き始めた。すっかり驚いた興行主は飛び上がり、いったいどうしたのか、とたずねた。,すると、ブランコノリは突然泣き始めた。すっかり驚いた工業主は飛び上がり、一体どうしたのかと尋ねた。
日本語は美しいです。,日本語は美しいです。
札幌スクーリングへ行く,札幌スクーリングへ行く
てめーは俺を怒らせた,てめえは俺を怒らせた
お釣りが違っていると思います。,物理が違っていると思います。
これは黒色のボールペンです。,これは黒色のボールペンです
ラ・リオハ県の県都はログローニョである,システム TSS
七夕の日に、短冊へ願い事を書くのはどうして始まったんだろう。,七夕の日に短冊絵の願い事を書くのはどうして始まったんだろう。
アリアリアリアリアリアリアリアリ！！アリーヴェデルチ！！,アリアリアリアリアリアリアリアリアリアリーベル デリチ
財布をなくしたので、交番へ行きます。,財布をなくしたので交番に行きます。
背の高さは一七〇センチほどで、目が大きく、やや太っている。,背の高さは170センチほどで、目が大きくやや太っている。
小説を読む,お待ちしております
甘すぎて気持ちが悪くなっただけ,甘すぎて気持ちが悪くなっただけ
巨人軍は優勝した。,巨人軍は優勝した
七夕の日に、短冊へ願い事を書くのはどうして始まったんだろう。,七夕の日に短冊へ願い事を書くのはどうして始まったんだろう
暖かくして寝てね。,暖かくして寝てね
それがあなたの本心なの,それがあなたの本心なの。
ブランドポートフォリオ,ブランドポートフォリオ
ぎこちない笑いをした店員が答えた。,ぎこちない笑いをした店員が答えた
彼はネットのビデオを見て料理を学んだ。,彼はネットのビデオを見て料理を学んだ
業として他人の就業に介入して利益を得てはならない。,なりわいとして他人の就業に介入して利益を得てはならない
京都府城陽市,
君が好きだ。,君が好きだ
富があっても、彼は満足していない。,富があっても彼は満足していない
まじめかよ、とバカにされてもそれが最善,ご視聴ありがとうございました
トリガー、オンッ,トリガーオン
小悪魔は、「助けて下さい。打たないで下さい。あなたのおっしゃることならなんでもいたします。」とたのみました。,最後の勇気振り絞って
神奈川県横浜市緑区長津田町,ご視聴ありがとうございました
「おやおや、汚いやつめまた出て来やがったな。」とイワンは言いました。,
アイオワ州の州都はデモインである,さあ
こんにちは、今日は快晴だね！！！一緒に散歩にでも行かない？そのあとはカフェとか行ってゆっくり過ごそうよ,こんにちは。今日は海西だね。一緒に散歩にでも行かない?その後はカフェとか行ってゆっくり過ごそうよ。
最近全然会ってくれないね。,最近全然会ってくれないね
